Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Procolobus verus,,,Procolobus_verus,Procolobus_verus,Procolobus_verus,olive group,Cercopithecidae,Extant,Ancestral,1.712892019,3.62324929,51.62879856,14,fem,Isler et al. 2008,4200,14,fem,Isler et al. 2008,Oates et al. 90 in Smith and Jungers 1997
Prolemur simus,,,Prolemur_simus,Hapalemur_simus,Prolemur_simus,,Lemuridae,Extant,Ancestral,1.418747457,3.351022853,26.22693,5,all individuals,van Woerden compilation,2244,9,all individuals,Tan 2000 in ATWP 2011,
Propithecus candidus,,,Propithecus_candidus,,,,Indridae,Extant,Ancestral,1.57054294,,37.2,1,fem,van Woerden compilation,,,,,
Propithecus coquereli,,,Propithecus_coquereli,Propithecus_coquereli,Propithecus_coquereli,,Indridae,Extant,Ancestral,1.460322849,3.586587305,28.8617625,8,all individuals,van Woerden compilation,3860,33,all individuals,"Kappeler 1991, Ravosa 1993 (captive???)",
Propithecus coronatus,,,Propithecus_coronatus,,,,Indridae,Extant,Ancestral,,,,,,,,,,,
Propithecus deckenii,,,Propithecus_deckenii,Propithecus_deckenii,Propithecus_deckenii,,Indridae,Extant,Ancestral,1.447287084,3.464464707,28.00832158,19,all individuals,van Woerden compilation,2913.833333,4,all individuals,"Pastorini, pers comm; Junge 2005 in ATWP 2011",
Propithecus diadema,,,Propithecus_diadema,Propithecus_diadema,Propithecus_diadema,,Indridae,Extant,Ancestral,1.566564185,3.813247301,36.86075152,23,all individuals,van Woerden compilation,6505,11,all individuals,Powzyk & Thalmann 2003,Powzyk 1997
Propithecus edwardsi,,,Propithecus_edwardsi,Propithecus_edwardsi,Propithecus_edwardsi,,Indridae,Extant,Ancestral,1.579157564,3.768021118,37.94526268,10,all individuals,van Woerden compilation,5861.666667,21,all individuals,"ATWP 2011: Glander 1992, Lehmann 2005",
Propithecus perrieri,,,Propithecus_perrieri,,,,Indridae,Extant,Ancestral,,,,,,,,,,,
Propithecus tattersalli,,,Propithecus_tattersalli,Propithecus_tattersalli,Propithecus_tattersalli,,Indridae,Extant,Ancestral,,3.542825427,,,,,3490,18,all individuals,Ravosa 1993 ,ATWP 2011
Propithecus verreauxi,,,Propithecus_verreauxi,Propithecus_verreauxi,Propithecus_verreauxi,,Indridae,Extant,Ancestral,1.414946055,3.444521009,25.99836611,36,all individuals,van Woerden compilation,2783.05,386,all individuals,Brockman et al. Sifaka database in ATWP 2011,
Pygathrix nemaeus,,,Pygathrix_nemaeus,Pygathrix_nemaeus,Pygathrix_nemaeus,Colobinae,Cercopithecidae,Extant,Ancestral,1.977037335,3.999130541,94.85,5,all individuals,"van Woerden compilation, 89 N=4 females in Lippold in press ATwo 2011",9980,8,fem,Lippold (Vietnam field and museum notes) in ATWP 2011,
Pygathrix nigripes,,,Pygathrix_nigripes,Pygathrix_nigripes,Pygathrix_nigripes,Colobinae,Cercopithecidae,Extant,Ancestral,1.922739372,3.948618327,83.70268167,6,all individuals,van Woerden compilation,8884.2,5,fem,Vu and Willis in ATWP 2011,
Rhinopithecus avunculus,,,Rhinopithecus_avunculus,Rhinopithecus_avunculus,Rhinopithecus_avunculus,Colobinae,Cercopithecidae,Extant,Ancestral,,3.929418926,,,,,8500,,fem,Ratajszczak 1992 in ATWP 2012,
Rhinopithecus bieti,,,Rhinopithecus_bieti,Rhinopithecus_bieti,Rhinopithecus_bieti,Colobinae,Cercopithecidae,Extant,Ancestral,2.059617505,3.959041392,114.7142857,7,all individuals,van Woerden compilation,9100,7,fem,"Kirkpatrick 1998, single males ATWP 2011",
Rhinopithecus brelichi,,,Rhinopithecus_brelichi,Rhinopithecus_brelichi,Rhinopithecus_brelichi,Colobinae,Cercopithecidae,Extant,Ancestral,2.047274867,,111.5,1,fem,van Woerden compilation,,,,,
Rhinopithecus roxellana,,,Rhinopithecus_roxellana,Rhinopithecus_roxellana,Rhinopithecus_roxellana,Colobinae,Cercopithecidae,Extant,Ancestral,2.062714279,3.926102249,115.5351889,9,all individuals,van Woerden compilation,8435.333333,,fem,"Liu 1989, Quan 2002 in ATWP 2011",
Saguinus bicolor,,,Saguinus_bicolor,Saguinus_bicolor,Saguinus_bicolor,,Callitrichidae,Extant,Ancestral,0.963787827,2.632457292,9.2,1,all individuals,van Woerden compilation,429,8,all individuals,Smith&Jungers 1997,
Saguinus fuscicollis,,,Saguinus_fuscicollis,Saguinus_fuscicollis,Saguinus_fuscicollis,,Callitrichidae,Extant,Ancestral,0.911782169,2.603299063,8.161728974,43,all individuals,van Woerden compilation,401.1428571,21,all individuals,van Woerden compilation (matching),matching ECV
Saguinus geoffroyi,,,Saguinus_geoffroyi,Saguinus_geoffroyi,Saguinus_geoffroyi,,Callitrichidae,Extant,Ancestral,1.003769135,2.711543621,10.08716524,27,all individuals,van Woerden compilation,514.6875,16,all individuals,van Woerden compilation (matching),matching ECV
Saguinus imperator,,,Saguinus_imperator,Saguinus_imperator,Saguinus_imperator,,Callitrichidae,Extant,Ancestral,1.029383778,,10.7,1,all individuals,van Woerden compilation,,,,,
Saguinus inustus,,,Saguinus_inustus,,,,Callitrichidae,Extant,Ancestral,,,,,,,,,,,
Saguinus labiatus,,,Saguinus_labiatus,Saguinus_labiatus,Saguinus_labiatus,,Callitrichidae,Extant,Ancestral,1.000509969,2.716003344,10.01174938,2,all individuals,van Woerden compilation,520,2,all individuals,van Woerden compilation (matching),matching ECV
Saguinus leucopus,,,Saguinus_leucopus,Saguinus_leucopus,Saguinus_leucopus,,Callitrichidae,Extant,Ancestral,0.989080224,2.71572486,9.751697568,14,all individuals,van Woerden compilation,519.6666667,3,all individuals,van Woerden compilation (matching),matching ECV
Saguinus midas,,,Saguinus_midas,Saguinus_midas,Saguinus_midas,,Callitrichidae,Extant,Ancestral,0.99169416,2.728353782,9.810568181,25,all individuals,van Woerden compilation,535,13,all individuals,Isler et al. 2008,Gordon 2006
Saguinus mystax,,,Saguinus_mystax,Saguinus_mystax,Saguinus_mystax,,Callitrichidae,Extant,Ancestral,1.017750191,2.763708697,10.41718055,24,all individuals,van Woerden compilation,580.375,8,all individuals,van Woerden compilation (matching),matching ECV
Saguinus mystax pileatus,,,Saguinus_mystax_pileatus,Saguinus_pileatus,Saguinus_pileatus,,Callitrichidae,Extant,Ancestral,0.985251852,2.719745493,9.666112656,4,all individuals,van Woerden compilation,524.5,324,all individuals,Smith&Jungers 1997,
Saguinus niger,,,Saguinus_niger,Saguinus_niger,Saguinus_niger,,Callitrichidae,Extant,Ancestral,0.960595563,2.574031268,9.132623701,10,all individuals,van Woerden compilation,375,3,all individuals,Isler et al. 2008 (matching),matching ECV
Saguinus nigricollis,,,Saguinus_nigricollis,Saguinus_nigricollis,Saguinus_nigricollis,,Callitrichidae,Extant,Ancestral,0.949390007,2.677606953,8.9,,"mean m/f, no dim",Isler et al. 2008,476,14,all individuals,Isler et al. 2008,
Saguinus oedipus,,,Saguinus_oedipus,Saguinus_oedipus,Saguinus_oedipus,,Callitrichidae,Extant,Ancestral,0.986678384,2.630510894,9.69791524,55,all individuals,van Woerden compilation,427.0816327,49,all individuals,van Woerden compilation (matching),matching ECV
Saguinus tripartitus,,,Saguinus_tripartitus,Saguinus_tripartitus,Saguinus_tripartitus,,Callitrichidae,Extant,Ancestral,0.929418926,,8.5,1,all individuals,van Woerden compilation,,,,,
Saimiri boliviensis,,,Saimiri_boliviensis,Saimiri_boliviensis,Saimiri_boliviensis,,Cebidae,Extant,Ancestral,1.332887111,2.875061263,21.52222222,27,fem,van Woerden compilation,750,13,fem,Isler et al. 2008,"Gordon 2006, Boinski 2002?"
Saimiri oerstedii,,,Saimiri_oerstedii,Saimiri_oerstedii,Saimiri_oerstedii,,Cebidae,Extant,Ancestral,1.384467395,2.832508913,24.23636,9,fem,van Woerden compilation,680,7,fem,Isler et al. 2008,"Crile&Quiring 40, Schultz 41 in Smith and Jungers 1997"
Saimiri sciureus,,,Saimiri_sciureus,Saimiri_sciureus,Saimiri_sciureus,,Cebidae,Extant,Ancestral,1.371495795,2.914238654,23.52316718,48,fem,van Woerden compilation,820.8024691,81,all individuals,van Woerden compilation (matching),matching ECV
Saimiri ustus,,,Saimiri_ustus,,,,Cebidae,Extant,Ancestral,,,,,,,,,,,
Saimiri vanzolinii,,,Saimiri_vanzolinii,,,,Cebidae,Extant,Ancestral,,,,,,,,,,,
Sciurocheirus alleni cameronensis,,,Sciurocheirus_alleni_cameronensis,Sciurocheirus_cameronensis,Sciurocheirus_cameronensis,,Galagidae,Extant,Ancestral,0.754348336,2.42975228,5.68,13,all individuals,van Woerden compilation,269,13,all individuals,Nekaris & Bearder 2007,
Sciurocheirus gabonensis,,,Sciurocheirus_gabonensis,Sciurocheirus_gabonensis,Sciurocheirus_gabonensis,,Galagidae,Extant,Ancestral,0.728951815,2.414973348,5.357372143,7,all individuals,Isler et al. 2008,260,39,all individuals,Smith&Jungers 1997,
Semnopithecus dussumieri,,,Semnopithecus_dussumieri,Semnopithecus_dussumieri,Semnopithecus_dussumieri,Colobinae,Cercopithecidae,Extant,Ancestral,1.945940565,4.005623736,88.29590553,6,fem,van Woerden compilation,10130.33333,6,fem,van Woerden compilation (matching),matching ECV
Semnopithecus entellus,,,Semnopithecus_entellus,Semnopithecus_entellus,Semnopithecus_entellus,Colobinae,Cercopithecidae,Extant,Ancestral,1.978805,4.04044196,95.23684512,4,fem,van Woerden compilation,10975.94595,37,fem,ATWP 2011 diverse,
Semnopithecus priam,,,Semnopithecus_priam,Semnopithecus_priam,Semnopithecus_priam,Colobinae,Cercopithecidae,Extant,Ancestral,1.87674671,3.818027842,75.29163191,7,fem,van Woerden compilation,6577,2,fem,van Woerden compilation (matching),matching ECV
Semnopithecus schistaceus,,,Semnopithecus_schistaceus,Semnopithecus_schistaceus,Semnopithecus_schistaceus,Colobinae,Cercopithecidae,Extant,Ancestral,2.100805032,4.170261715,126.1261188,5,fem,van Woerden compilation,14800,9,fem,Smith&Jungers 1997,
Simias concolor,,,Simias_concolor,Simias_concolor,Simias_concolor,Colobinae,Cercopithecidae,Extant,Ancestral,1.719765245,3.832508913,52.45238555,6,fem,van Woerden compilation,6800,3,fem,Isler et al. 2008,Willis 1995 in Smith and Jungers 1997
